gene p.value alpha alpha_low alpha_high p.adj
cbrD 0.020845023661811856 104.54212829059645 2.9530684470300548 106.37155323764466 0.8487497109982873
cbs 0.01504034611200425 104.08597382929628 1.6139787324914625 106.36081686543358 0.8487497109982873
cca 0.32928519192161726 103.75771166535577 2.0742551237400644 106.37589824136106 0.8487497109982873
ccdA 0.39063362726066553 102.14201934136891 0.13324967596674153 106.34259232471001 0.8487497109982873
ccsB 0.03531789724394174 103.66210085629845 1.8256063131983975 106.36028624313187 0.8487497109982873
cdd 0.593617663719042 104.62370366030683 0.13526352012510737 106.35929088803091 0.8487497109982873
cdr 0.4084706916367523 17.381958996098263 0.03660961816037574 106.38364841706701 0.8487497109982873
celR 0.15667750184329648 104.70158835313237 1.7200700474711659 106.33936478534449 0.8487497109982873
cfa 0.22378280137872894 100.95778447161221 2.066331457231166 106.388872406378 0.8487497109982873
chiS 0.07052330023166159 105.07534068320832 1.1102993125646765 106.34817879074791 0.8487497109982873
chlI 0.020845023661811856 103.86366893346444 1.7512129517319683 106.36636072814886 0.8487497109982873
cinA 0.5488741889069297 0.4217609218518948 0.03609211231684355 106.19071000338451 0.8487497109982873
citA 0.20995343876020447 105.36730625104529 1.449775931065521 106.38411762779236 0.8487497109982873
citB 0.21788333987297448 105.11666023180534 3.5297467569241245 106.3429196570028 0.8487497109982873
citE 0.37185245128382854 104.21320558786158 3.8742311054678917 106.3678506121223 0.8487497109982873
citN 0.009957034061988869 104.08023253256957 0.11276091214188856 106.36848567486656 0.8487497109982873
clgR 0.09015526733166243 99.94734756937461 1.4828754517065033 106.37814852737415 0.8487497109982873
clpB 0.5147957434361599 1.7928120445713367 0.03581350145291905 106.35013715236056 0.8487497109982873
clpC 0.2638789328316237 104.40982712404059 1.2577957570082878 106.3791764034522 0.8487497109982873
clpP 0.17254982838092986 105.08527428997047 4.424263695673292 106.35867297735764 0.8487497109982873
clpP1 0.5796462952131982 105.2489430499952 1.407376546437233 106.34378086428147 0.8487497109982873
clpP4 0.051628498013013134 103.83550020205837 1.7062437232371699 106.38818012815611 0.8487497109982873
clpS 0.11627824065139375 103.51206387440584 3.218342171149299 106.3780965855243 0.8487497109982873
cls 0.6023655014207323 103.93088059783173 1.8026956855617224 106.37511324634056 0.8487497109982873
cmk 0.8180923596758741 0.5267127041892201 0.03654375328961214 106.32356828698427 0.8699342555338849
cmr 0.07035305464480412 102.521075315804 1.9355899066546738 106.37841306048921 0.8487497109982873
coaA 0.06653608023542106 8.869226116406235 0.035837895364920803 106.33961500088708 0.8487497109982873
coaBC 0.6286381413271517 0.35378249287377006 0.036451981517649376 106.2493787596806 0.8487497109982873
coaD 0.812564526241234 0.6526962788064117 0.03598716735880387 106.35221112063859 0.8651576994607313
coaE 0.8964123158640144 1.045088818493385 0.03658526332143579 106.31712824384178 0.930345905108078
cobA 0.39703960051015424 0.9984009136930978 0.03606806117996281 106.19948044934353 0.8487497109982873
cobB 0.13996648078054946 105.5875396520158 2.862254599029285 106.36605557998946 0.8487497109982873
cofC 0.0018363709503202864 97.00950240888038 1.585135178626833 106.33241593837997 0.6945827860134576
cofD 0.0018363709503202864 104.45820696551303 1.6195669324441733 106.36644623669466 0.6945827860134576
comEA 0.3869710603020528 103.09593781317464 0.04545912145242906 106.31962406239134 0.8487497109982873
comEC 0.2638789328316237 104.60802316157532 1.7475474538304232 106.36736066231884 0.8487497109982873
comM 0.05306611971717396 96.87359426479811 0.03587919104521108 106.3747963284793 0.8487497109982873
copA 0.5047359325999679 0.5614489661615407 0.03596856645155687 106.2985243629924 0.8487497109982873
copB 0.14987296520105972 103.66920587558326 2.158944951888759 106.34777026692936 0.8487497109982873
copZ 0.13040131385129236 104.15399911016877 1.091216160338094 106.36314530665675 0.8487497109982873
corA 0.42841422069302687 105.04330572572991 0.7646235020474478 106.38311745982485 0.8487497109982873
corC 0.10448269537112204 105.26542493092805 3.1130396923630475 106.36990872094105 0.8487497109982873
cpaF 0.01794888804631124 79.44388943901193 0.03966707798879608 106.38150567151627 0.8487497109982873
cpdA 0.1700089985884883 17.525181552832393 2.106029485185873 106.3840040393046 0.8487497109982873
cpdB 0.21582071356529178 104.85607533632763 0.7074184236799973 106.36049111210139 0.8487497109982873
cpo 0.4642633829906051 104.82856349354361 3.139727052649217 106.38155638790653 0.8487497109982873
cpsY 0.045505450058909276 101.25399973759428 3.071919013989878 106.38420803930812 0.8487497109982873
crcB 0.7484286959487385 12.23205102901395 0.3952225418329608 106.38734988180535 0.8487497109982873
crgA 0.031239764601021378 102.87883907341372 2.4758483881407054 106.3603341836257 0.8487497109982873
crtE 0.1596109878511416 104.75934312208022 1.1913910792967304 106.37652322050722 0.8487497109982873
crtI 0.031239764601021378 104.0325597317362 1.7257826959051878 106.38811616595801 0.8487497109982873
crtYf 0.031239764601021378 102.41241701229498 1.2318009685581295 106.37452732307042 0.8487497109982873
csaB 0.7349165854864443 43.730886101966206 0.21058590517340506 106.38074008075473 0.8487497109982873
cscK 0.020845023661811856 104.06116252850825 1.106753190637237 106.36951256019469 0.8487497109982873
csoR 0.03029765246276529 105.72376950044932 3.108408627216993 106.38425212575109 0.8487497109982873
csp 0.6705407013179556 104.84120878226744 1.807874842189043 106.35700386815058 0.8487497109982873
cspB 0.9752017223201637 104.64777207933449 0.21411992988656792 106.39145323922477 0.9824201226581875
ctaA 0.8194443683902315 0.5526338421945134 0.03714492677322724 105.98092048971273 0.8707748824574116
ctaB 0.893550411619121 103.20516095193801 0.03667772858517532 106.3657730510618 0.930345905108078
ctaC 0.24990942368729863 104.72137869012191 1.1550353856924476 106.36162802273262 0.8487497109982873
ctaD 0.5996173622859029 0.4934562357318173 0.03629545665793883 106.03994046854191 0.8487497109982873
ctaE 0.42714759885230413 0.9105527649383922 0.03630768179045859 106.21067981859801 0.8487497109982873
ctaF 0.6436674608749977 2.4059470925270015 0.03585339040355328 106.34065208770856 0.8487497109982873
