community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	lane121s003995_shovill	lane121s003954_shovill	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane121s003954_shovill	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane121s003954_shovill	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane121s003954_shovill	M_pi_e	0.06060606060606061	0.95	1	0.05757575757575757
all	minimal	lane121s003995_shovill	lane121s003954_shovill	M_ppap_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane121s003960_shovill	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane121s003960_shovill	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane121s003960_shovill	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane121s003960_shovill	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane121s003960_shovill	M_ppap_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane121s003964_megahit	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane121s003964_megahit	M_cgly_e	0.06060606060606061	0.07	1	0.004242424242424243
all	minimal	lane121s003995_shovill	lane121s003964_megahit	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane121s003964_megahit	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane121s003964_megahit	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000521_bin.1.s	M_acald_e	0.5151515151515151	0.04	1	0.020606060606060607
all	minimal	lane121s003995_shovill	lane122s000521_bin.1.s	M_fe3_e	0.5151515151515151	0.09	1	0.046363636363636364
all	minimal	lane121s003995_shovill	lane122s000521_bin.1.s	M_h2s_e	0.5151515151515151	0.89	1	0.4584848484848485
