model	metabolite
lane121s003953_shovill	uri
lane121s003953_shovill	zn2
lane121s003954_shovill	25dkglcn
lane121s003954_shovill	3amp
lane121s003954_shovill	5dglcn
lane121s003954_shovill	Larab
lane121s003954_shovill	abt__L
lane121s003954_shovill	acald
lane121s003954_shovill	acgam
lane121s003954_shovill	arab__L
lane121s003954_shovill	arbt
lane121s003954_shovill	arg__L
lane121s003954_shovill	asn__L
lane121s003954_shovill	ca2
lane121s003954_shovill	cell6
lane121s003954_shovill	cellb
lane121s003954_shovill	cgly
lane121s003954_shovill	cl
lane121s003954_shovill	cobalt2
lane121s003954_shovill	cu2
lane121s003954_shovill	cytd
lane121s003954_shovill	drib
lane121s003954_shovill	fe2
lane121s003954_shovill	fru
lane121s003954_shovill	g3pg
lane121s003954_shovill	galur
lane121s003954_shovill	gam
lane121s003954_shovill	glc__D
lane121s003954_shovill	glcn__D
lane121s003954_shovill	glcn
lane121s003954_shovill	glcur
lane121s003954_shovill	gln__L
lane121s003954_shovill	glu__L
lane121s003954_shovill	gly
lane121s003954_shovill	gly_pro__L
lane121s003954_shovill	glyc
lane121s003954_shovill	gthrd
lane121s003954_shovill	gua
lane121s003954_shovill	h2o2
lane121s003954_shovill	h2o
lane121s003954_shovill	h
lane121s003954_shovill	his__L
lane121s003954_shovill	idon__L
lane121s003954_shovill	k
lane121s003954_shovill	lcts
lane121s003954_shovill	lys__L
lane121s003954_shovill	madg
lane121s003954_shovill	mal__L
lane121s003954_shovill	malt
lane121s003954_shovill	man
lane121s003954_shovill	manglyc
lane121s003954_shovill	mbdg
lane121s003954_shovill	mg2
lane121s003954_shovill	mn2
lane121s003954_shovill	mnl
lane121s003954_shovill	nh4
lane121s003954_shovill	no3
lane121s003954_shovill	o2
lane121s003954_shovill	orn__L
lane121s003954_shovill	orn
lane121s003954_shovill	phe__L
lane121s003954_shovill	pi
lane121s003954_shovill	pnto__R
lane121s003954_shovill	ppa
lane121s003954_shovill	ppoh
lane121s003954_shovill	pro__L
lane121s003954_shovill	raffin
lane121s003954_shovill	rib__D
lane121s003954_shovill	ribflv
lane121s003954_shovill	s
lane121s003954_shovill	salcn
lane121s003954_shovill	sbt__D
lane121s003954_shovill	ser__L
lane121s003954_shovill	so4
lane121s003954_shovill	sucr
lane121s003954_shovill	tartr__L
lane121s003954_shovill	thm
lane121s003954_shovill	thr__L
lane121s003954_shovill	tre
lane121s003954_shovill	trp__L
lane121s003954_shovill	tyr__L
lane121s003954_shovill	udcpp
lane121s003954_shovill	uri
lane121s003954_shovill	xyl__D
lane121s003954_shovill	zn2
lane121s003955_bin.1.s	R_sink_2ohph_c
lane121s003955_bin.1.s	R_sink_mobd_c
lane121s003955_bin.1.s	12ppd__S
lane121s003955_bin.1.s	23camp
lane121s003955_bin.1.s	23ccmp
lane121s003955_bin.1.s	23cgmp
lane121s003955_bin.1.s	23cump
lane121s003955_bin.1.s	25dkglcn
lane121s003955_bin.1.s	3amp
lane121s003955_bin.1.s	3cmp
lane121s003955_bin.1.s	3hcinnm
lane121s003955_bin.1.s	3hoxpac
lane121s003955_bin.1.s	3ump
lane121s003955_bin.1.s	4abut
lane121s003955_bin.1.s	5mcsn
lane121s003955_bin.1.s	LalaDgluMdap
lane121s003955_bin.1.s	abt__L
lane121s003955_bin.1.s	abt
lane121s003955_bin.1.s	ac
lane121s003955_bin.1.s	acac
lane121s003955_bin.1.s	acald
lane121s003955_bin.1.s	acgam
lane121s003955_bin.1.s	actn__R
lane121s003955_bin.1.s	ade
lane121s003955_bin.1.s	adn
lane121s003955_bin.1.s	ala_L_asp__L
lane121s003955_bin.1.s	ala_L_glu__L
lane121s003955_bin.1.s	ala__D
lane121s003955_bin.1.s	ala__L
lane121s003955_bin.1.s	anhgm
lane121s003955_bin.1.s	arab__L
lane121s003955_bin.1.s	arbt
lane121s003955_bin.1.s	arg__L
lane121s003955_bin.1.s	asn__L
lane121s003955_bin.1.s	buts
lane121s003955_bin.1.s	butso3
lane121s003955_bin.1.s	bz
lane121s003955_bin.1.s	ca2
lane121s003955_bin.1.s	cgly
lane121s003955_bin.1.s	cit
lane121s003955_bin.1.s	cl
lane121s003955_bin.1.s	coa
lane121s003955_bin.1.s	cobalt2
lane121s003955_bin.1.s	cu2
lane121s003955_bin.1.s	cys__L
lane121s003955_bin.1.s	cytd
lane121s003955_bin.1.s	dad_2
lane121s003955_bin.1.s	dextrin
lane121s003955_bin.1.s	dha
lane121s003955_bin.1.s	drib
lane121s003955_bin.1.s	dxyl
lane121s003955_bin.1.s	etha
lane121s003955_bin.1.s	eths
lane121s003955_bin.1.s	ethso3
lane121s003955_bin.1.s	f6p
lane121s003955_bin.1.s	fad
lane121s003955_bin.1.s	fe2
lane121s003955_bin.1.s	fe3pyovd_kt
lane121s003955_bin.1.s	feenter
lane121s003955_bin.1.s	forglu
lane121s003955_bin.1.s	fru
lane121s003955_bin.1.s	fum
lane121s003955_bin.1.s	g3pc
lane121s003955_bin.1.s	g3pe
lane121s003955_bin.1.s	g3pg
lane121s003955_bin.1.s	g3pi
lane121s003955_bin.1.s	g3ps
lane121s003955_bin.1.s	gal
lane121s003955_bin.1.s	galman4
lane121s003955_bin.1.s	galman6
lane121s003955_bin.1.s	galur
lane121s003955_bin.1.s	gam
lane121s003955_bin.1.s	glc__D
lane121s003955_bin.1.s	glcman4
lane121s003955_bin.1.s	glcman6
lane121s003955_bin.1.s	glcn
lane121s003955_bin.1.s	glcr
lane121s003955_bin.1.s	glcur
lane121s003955_bin.1.s	gln__L
lane121s003955_bin.1.s	glu__L
lane121s003955_bin.1.s	glucan4
lane121s003955_bin.1.s	glucan6
lane121s003955_bin.1.s	gly_asn__L
lane121s003955_bin.1.s	gly_asp__L
lane121s003955_bin.1.s	gly_glu__L
lane121s003955_bin.1.s	gly_pro__L
lane121s003955_bin.1.s	glyald
lane121s003955_bin.1.s	glyb
lane121s003955_bin.1.s	glyc3p
lane121s003955_bin.1.s	glyclt
lane121s003955_bin.1.s	glyphe
lane121s003955_bin.1.s	gsn
lane121s003955_bin.1.s	h2o
lane121s003955_bin.1.s	h2s
lane121s003955_bin.1.s	h
lane121s003955_bin.1.s	his__L
lane121s003955_bin.1.s	hom__L
lane121s003955_bin.1.s	hxa
lane121s003955_bin.1.s	hxan
lane121s003955_bin.1.s	ile__L
lane121s003955_bin.1.s	inost
lane121s003955_bin.1.s	ins
lane121s003955_bin.1.s	isetac
lane121s003955_bin.1.s	istnt
lane121s003955_bin.1.s	ival
lane121s003955_bin.1.s	k
lane121s003955_bin.1.s	lcts
lane121s003955_bin.1.s	leu__L
lane121s003955_bin.1.s	lmn2
lane121s003955_bin.1.s	lys__L
lane121s003955_bin.1.s	madg
lane121s003955_bin.1.s	mal__D
lane121s003955_bin.1.s	malt
lane121s003955_bin.1.s	malthx
lane121s003955_bin.1.s	malttr
lane121s003955_bin.1.s	maltttr
lane121s003955_bin.1.s	man
lane121s003955_bin.1.s	manb
lane121s003955_bin.1.s	mantr
lane121s003955_bin.1.s	manttr
lane121s003955_bin.1.s	mbdg
lane121s003955_bin.1.s	melib
lane121s003955_bin.1.s	meoh
lane121s003955_bin.1.s	met_L_ala__L
lane121s003955_bin.1.s	met__D
lane121s003955_bin.1.s	met__L
lane121s003955_bin.1.s	mg2
lane121s003955_bin.1.s	mn2
lane121s003955_bin.1.s	mnl
lane121s003955_bin.1.s	mobd
lane121s003955_bin.1.s	mso3
lane121s003955_bin.1.s	nac
lane121s003955_bin.1.s	nh4
lane121s003955_bin.1.s	no3
lane121s003955_bin.1.s	no
lane121s003955_bin.1.s	o2
lane121s003955_bin.1.s	octa
lane121s003955_bin.1.s	orn
lane121s003955_bin.1.s	oxa
lane121s003955_bin.1.s	pacald
lane121s003955_bin.1.s	pentso3
lane121s003955_bin.1.s	pi
lane121s003955_bin.1.s	pnto__R
lane121s003955_bin.1.s	pro__L
lane121s003955_bin.1.s	progly
lane121s003955_bin.1.s	ptrc
lane121s003955_bin.1.s	pyovd_kt
lane121s003955_bin.1.s	raffin
lane121s003955_bin.1.s	rib__D
lane121s003955_bin.1.s	ribflv
lane121s003955_bin.1.s	rmn
lane121s003955_bin.1.s	s
lane121s003955_bin.1.s	sbt__D
lane121s003955_bin.1.s	skm
lane121s003955_bin.1.s	so3
lane121s003955_bin.1.s	so4
lane121s003955_bin.1.s	spmd
lane121s003955_bin.1.s	starch
lane121s003955_bin.1.s	succ
lane121s003955_bin.1.s	sucr
lane121s003955_bin.1.s	sula
lane121s003955_bin.1.s	sulfac
lane121s003955_bin.1.s	taur
lane121s003955_bin.1.s	tet
lane121s003955_bin.1.s	thm
lane121s003955_bin.1.s	thr__L
lane121s003955_bin.1.s	tre
lane121s003955_bin.1.s	tsul
lane121s003955_bin.1.s	udcpp
lane121s003955_bin.1.s	urea
lane121s003955_bin.1.s	uri
