model	metabolite
lane122s000522_shovill	cl
lane122s000522_shovill	cobalt2
lane122s000522_shovill	fe2
lane122s000522_shovill	k
lane122s000522_shovill	malthx
lane122s000522_shovill	mg2
lane122s000522_shovill	mn2
lane122s000522_shovill	o2
lane122s000522_shovill	raffin
lane122s000522_shovill	zn2
lane122s000523_bin.1.p	ca2
lane122s000523_bin.1.p	cl
lane122s000523_bin.1.p	cobalt2
lane122s000523_bin.1.p	k
lane122s000523_bin.1.p	malthx
lane122s000523_bin.1.p	maltttr
lane122s000523_bin.1.p	mg2
lane122s000523_bin.1.p	mn2
lane122s000523_bin.1.p	o2
lane122s000523_bin.1.p	xylan4
lane122s000523_bin.1.p	xylan8
lane122s000523_bin.1.p	zn2
lane122s000524_shovill	ca2
lane122s000524_shovill	cl
lane122s000524_shovill	cobalt2
lane122s000524_shovill	fum
lane122s000524_shovill	k
lane122s000524_shovill	mg2
lane122s000524_shovill	mn2
lane122s000524_shovill	no2
lane122s000524_shovill	no3
lane122s000524_shovill	no
lane122s000524_shovill	o2
lane122s000524_shovill	zn2
lane122s000525_bin.1.p	asn__L
lane122s000525_bin.1.p	ca2
lane122s000525_bin.1.p	cl
lane122s000525_bin.1.p	cobalt2
lane122s000525_bin.1.p	gln__L
lane122s000525_bin.1.p	glucan4
lane122s000525_bin.1.p	glucan6
lane122s000525_bin.1.p	ile__L
lane122s000525_bin.1.p	k
lane122s000525_bin.1.p	malthx
lane122s000525_bin.1.p	maltttr
lane122s000525_bin.1.p	mg2
lane122s000525_bin.1.p	mn2
lane122s000525_bin.1.p	o2
lane122s000525_bin.1.p	phe__L
lane122s000525_bin.1.p	ribflv
lane122s000525_bin.1.p	so4
lane122s000525_bin.1.p	thm
lane122s000525_bin.1.p	udcpp
lane122s000525_bin.1.p	zn2
lane122s000527_megahit	23camp
lane122s000527_megahit	ca2
lane122s000527_megahit	cl
lane122s000527_megahit	cobalt2
lane122s000527_megahit	fru
lane122s000527_megahit	glcur
lane122s000527_megahit	glucan4
lane122s000527_megahit	glucan6
lane122s000527_megahit	k
lane122s000527_megahit	malttr
lane122s000527_megahit	manttr
lane122s000527_megahit	mg2
lane122s000527_megahit	mn2
lane122s000527_megahit	o2
lane122s000527_megahit	raffin
lane122s000527_megahit	ribflv
lane122s000527_megahit	zn2
lane122s000528_shovill	ca2
lane122s000528_shovill	cl
lane122s000528_shovill	cobalt2
lane122s000528_shovill	k
lane122s000528_shovill	malthp
lane122s000528_shovill	malttr
lane122s000528_shovill	maltttr
lane122s000528_shovill	mg2
lane122s000528_shovill	mn2
lane122s000528_shovill	no3
lane122s000528_shovill	o2
lane122s000528_shovill	zn2
lane122s000529_megahit	14glucan
lane122s000529_megahit	ca2
lane122s000529_megahit	cl
lane122s000529_megahit	cobalt2
lane122s000529_megahit	cu2
lane122s000529_megahit	k
lane122s000529_megahit	malthx
lane122s000529_megahit	mg2
lane122s000529_megahit	mn2
lane122s000529_megahit	raffin
lane122s000529_megahit	zn2
lane122s000530_shovill	ca2
lane122s000530_shovill	cellb
lane122s000530_shovill	cl
lane122s000530_shovill	cobalt2
lane122s000530_shovill	k
lane122s000530_shovill	malt
lane122s000530_shovill	malthp
lane122s000530_shovill	melib
lane122s000530_shovill	mg2
lane122s000530_shovill	mn2
lane122s000530_shovill	o2
lane122s000530_shovill	pi
lane122s000530_shovill	raffin
lane122s000530_shovill	sucr
lane122s000530_shovill	thr__L
lane122s000530_shovill	tre
lane122s000530_shovill	udcpp
lane122s000530_shovill	val__L
lane122s000530_shovill	zn2
lane122s000531_bin.1.o	23cgmp
lane122s000531_bin.1.o	ca2
lane122s000531_bin.1.o	cl
lane122s000531_bin.1.o	cobalt2
lane122s000531_bin.1.o	k
lane122s000531_bin.1.o	mg2
lane122s000531_bin.1.o	mn2
lane122s000531_bin.1.o	no3
lane122s000531_bin.1.o	o2
lane122s000531_bin.1.o	thm
lane122s000531_bin.1.o	zn2
lane122s000532_bin.1.p	14glucan
lane122s000532_bin.1.p	ca2
lane122s000532_bin.1.p	cell6
lane122s000532_bin.1.p	cl
lane122s000532_bin.1.p	cobalt2
lane122s000532_bin.1.p	fe2
lane122s000532_bin.1.p	k
lane122s000532_bin.1.p	malthp
lane122s000532_bin.1.p	mg2
lane122s000532_bin.1.p	mn2
lane122s000532_bin.1.p	raffin
lane122s000532_bin.1.p	zn2
lane122s000533_bin.10.p	ca2
lane122s000533_bin.10.p	cl
lane122s000533_bin.10.p	cobalt2
lane122s000533_bin.10.p	hom__L
lane122s000533_bin.10.p	k
lane122s000533_bin.10.p	mg2
lane122s000533_bin.10.p	mn2
lane122s000533_bin.10.p	nmn
lane122s000533_bin.10.p	no3
lane122s000533_bin.10.p	o2
lane122s000533_bin.10.p	ribflv
lane122s000533_bin.10.p	s
lane122s000533_bin.10.p	so4
lane122s000533_bin.10.p	thm
lane122s000533_bin.10.p	ura
lane122s000533_bin.10.p	zn2
lane122s000535_bin.1.p	ca2
lane122s000535_bin.1.p	cl
lane122s000535_bin.1.p	cobalt2
lane122s000535_bin.1.p	fe2
lane122s000535_bin.1.p	h
lane122s000535_bin.1.p	his__L
lane122s000535_bin.1.p	hom__L
lane122s000535_bin.1.p	k
lane122s000535_bin.1.p	mg2
lane122s000535_bin.1.p	mn2
lane122s000535_bin.1.p	o2
lane122s000535_bin.1.p	ribflv
lane122s000535_bin.1.p	thm
lane122s000535_bin.1.p	udcpp
lane122s000535_bin.1.p	zn2
lane122s000536_megahit	ca2
lane122s000536_megahit	cl
lane122s000536_megahit	cobalt2
lane122s000536_megahit	k
lane122s000536_megahit	malt
lane122s000536_megahit	malthx
lane122s000536_megahit	malttr
lane122s000536_megahit	mg2
lane122s000536_megahit	mn2
lane122s000536_megahit	o2
lane122s000536_megahit	sucr
lane122s000536_megahit	tre
lane122s000536_megahit	zn2
lane122s000537_shovill	14glucan
lane122s000537_shovill	ca2
lane122s000537_shovill	cl
lane122s000537_shovill	cobalt2
lane122s000537_shovill	cu2
lane122s000537_shovill	fe2
lane122s000537_shovill	galman6
lane122s000537_shovill	glcman6
lane122s000537_shovill	glucan6
lane122s000537_shovill	k
lane122s000537_shovill	mg2
lane122s000537_shovill	mn2
lane122s000537_shovill	zn2
lane122s000538_bin.1.p	14glucan
lane122s000538_bin.1.p	ca2
lane122s000538_bin.1.p	cl
lane122s000538_bin.1.p	cobalt2
lane122s000538_bin.1.p	fe2
lane122s000538_bin.1.p	glucan4
lane122s000538_bin.1.p	glucan6
lane122s000538_bin.1.p	k
lane122s000538_bin.1.p	mg2
lane122s000538_bin.1.p	mn2
lane122s000538_bin.1.p	zn2
lane122s000539_shovill	14glucan
lane122s000539_shovill	ca2
lane122s000539_shovill	cl
lane122s000539_shovill	cobalt2
lane122s000539_shovill	cu2
lane122s000539_shovill	fe2
lane122s000539_shovill	k
lane122s000539_shovill	malthx
lane122s000539_shovill	mg2
lane122s000539_shovill	mn2
lane122s000539_shovill	o2
lane122s000539_shovill	tet
lane122s000539_shovill	zn2
lane122s000540_bin.1.p	ca2
lane122s000540_bin.1.p	cl
lane122s000540_bin.1.p	cobalt2
lane122s000540_bin.1.p	cu2
lane122s000540_bin.1.p	glcur
lane122s000540_bin.1.p	h2
lane122s000540_bin.1.p	h
lane122s000540_bin.1.p	k
lane122s000540_bin.1.p	mg2
lane122s000540_bin.1.p	mn2
lane122s000540_bin.1.p	no3
lane122s000540_bin.1.p	o2
lane122s000540_bin.1.p	zn2
lane122s000540_bin.2.p	ca2
lane122s000540_bin.2.p	cl
lane122s000540_bin.2.p	cobalt2
lane122s000540_bin.2.p	k
lane122s000540_bin.2.p	malthp
lane122s000540_bin.2.p	malttr
lane122s000540_bin.2.p	maltttr
lane122s000540_bin.2.p	mg2
lane122s000540_bin.2.p	mn2
lane122s000540_bin.2.p	no3
lane122s000540_bin.2.p	o2
lane122s000540_bin.2.p	zn2
lane122s000541_shovill	14glucan
lane122s000541_shovill	ca2
lane122s000541_shovill	cell6
lane122s000541_shovill	cl
lane122s000541_shovill	cobalt2
lane122s000541_shovill	k
lane122s000541_shovill	mg2
lane122s000541_shovill	mn2
lane122s000541_shovill	o2
lane122s000541_shovill	zn2
lane122s000542_bin.1.s	agm
lane122s000542_bin.1.s	arbt
lane122s000542_bin.1.s	ca2
lane122s000542_bin.1.s	cellb
lane122s000542_bin.1.s	cl
lane122s000542_bin.1.s	cobalt2
lane122s000542_bin.1.s	csn
lane122s000542_bin.1.s	k
lane122s000542_bin.1.s	mg2
lane122s000542_bin.1.s	mn2
lane122s000542_bin.1.s	no2
lane122s000542_bin.1.s	o2
lane122s000542_bin.1.s	ribflv
lane122s000542_bin.1.s	salcn
lane122s000542_bin.1.s	so4
lane122s000542_bin.1.s	thm
lane122s000542_bin.1.s	tre
lane122s000542_bin.1.s	udcpp
lane122s000542_bin.1.s	zn2
lane122s000543_bin.1.p	ca2
lane122s000543_bin.1.p	cl
lane122s000543_bin.1.p	cobalt2
lane122s000543_bin.1.p	galman4
lane122s000543_bin.1.p	glucan4
lane122s000543_bin.1.p	glucan6
lane122s000543_bin.1.p	k
lane122s000543_bin.1.p	malttr
lane122s000543_bin.1.p	maltttr
lane122s000543_bin.1.p	mg2
lane122s000543_bin.1.p	mn2
lane122s000543_bin.1.p	o2
lane122s000543_bin.1.p	thm
lane122s000543_bin.1.p	zn2
lane122s000544_bin.1.s	14glucan
lane122s000544_bin.1.s	ca2
lane122s000544_bin.1.s	cell6
lane122s000544_bin.1.s	cellb
lane122s000544_bin.1.s	cl
lane122s000544_bin.1.s	cobalt2
lane122s000544_bin.1.s	dextrin
lane122s000544_bin.1.s	k
lane122s000544_bin.1.s	malt
lane122s000544_bin.1.s	melib
lane122s000544_bin.1.s	mg2
lane122s000544_bin.1.s	mn2
lane122s000544_bin.1.s	o2
lane122s000544_bin.1.s	tre
lane122s000544_bin.1.s	zn2
lane122s000545_shovill	ca2
lane122s000545_shovill	cell6
lane122s000545_shovill	cl
lane122s000545_shovill	cobalt2
lane122s000545_shovill	k
lane122s000545_shovill	malthp
lane122s000545_shovill	mg2
lane122s000545_shovill	mn2
lane122s000545_shovill	no3
lane122s000545_shovill	o2
lane122s000545_shovill	zn2
lane122s000720_shovill	ca2
lane122s000720_shovill	cl
lane122s000720_shovill	cobalt2
lane122s000720_shovill	k
lane122s000720_shovill	malthp
lane122s000720_shovill	malttr
lane122s000720_shovill	maltttr
lane122s000720_shovill	mg2
lane122s000720_shovill	mn2
lane122s000720_shovill	no3
lane122s000720_shovill	o2
lane122s000720_shovill	zn2
lane122s000721_shovill	ca2
lane122s000721_shovill	cl
lane122s000721_shovill	cobalt2
lane122s000721_shovill	k
lane122s000721_shovill	malthp
lane122s000721_shovill	mg2
lane122s000721_shovill	mn2
lane122s000721_shovill	o2
lane122s000721_shovill	zn2
lane821s003035_bin.1.p	14glucan
lane821s003035_bin.1.p	ca2
lane821s003035_bin.1.p	cell6
lane821s003035_bin.1.p	cl
lane821s003035_bin.1.p	cobalt2
lane821s003035_bin.1.p	k
lane821s003035_bin.1.p	malthp
lane821s003035_bin.1.p	mg2
lane821s003035_bin.1.p	mn2
lane821s003035_bin.1.p	zn2
lane821s003036_shovill	ca2
lane821s003036_shovill	cl
lane821s003036_shovill	cobalt2
lane821s003036_shovill	glcman6
lane821s003036_shovill	gln__L
lane821s003036_shovill	glucan6
lane821s003036_shovill	k
lane821s003036_shovill	malthx
lane821s003036_shovill	mg2
lane821s003036_shovill	mn2
lane821s003036_shovill	nmn
lane821s003036_shovill	no3
lane821s003036_shovill	o2
lane821s003036_shovill	so4
lane821s003036_shovill	thm
lane821s003036_shovill	zn2
lane821s003038_bin.1.o	14glucan
lane821s003038_bin.1.o	ca2
lane821s003038_bin.1.o	cl
lane821s003038_bin.1.o	cobalt2
lane821s003038_bin.1.o	cu2
lane821s003038_bin.1.o	k
lane821s003038_bin.1.o	malthx
lane821s003038_bin.1.o	mg2
lane821s003038_bin.1.o	mn2
lane821s003038_bin.1.o	no2
lane821s003038_bin.1.o	no3
lane821s003038_bin.1.o	o2
lane821s003038_bin.1.o	tet
lane821s003038_bin.1.o	zn2
lane821s003040_bin.1.o	14glucan
lane821s003040_bin.1.o	ca2
lane821s003040_bin.1.o	cl
lane821s003040_bin.1.o	cobalt2
lane821s003040_bin.1.o	cu2
lane821s003040_bin.1.o	fe2
