model	metabolite
lane121s003984_bin.1.p	cellb
lane121s003984_bin.1.p	cl
lane121s003984_bin.1.p	cobalt2
lane121s003984_bin.1.p	dextrin
lane121s003984_bin.1.p	glucan4
lane121s003984_bin.1.p	glucan6
lane121s003984_bin.1.p	k
lane121s003984_bin.1.p	lmn2
lane121s003984_bin.1.p	malt
lane121s003984_bin.1.p	malthx
lane121s003984_bin.1.p	maltpt
lane121s003984_bin.1.p	malttr
lane121s003984_bin.1.p	manttr
lane121s003984_bin.1.p	melib
lane121s003984_bin.1.p	mg2
lane121s003984_bin.1.p	mn2
lane121s003984_bin.1.p	raffin
lane121s003984_bin.1.p	ribflv
lane121s003984_bin.1.p	sucr
lane121s003984_bin.1.p	tre
lane121s003984_bin.1.p	zn2
lane121s003986_megahit	arg__L
lane121s003986_megahit	ca2
lane121s003986_megahit	cellb
lane121s003986_megahit	cl
lane121s003986_megahit	cobalt2
lane121s003986_megahit	dextrin
lane121s003986_megahit	glucan4
lane121s003986_megahit	glucan6
lane121s003986_megahit	k
lane121s003986_megahit	lmn2
lane121s003986_megahit	malt
lane121s003986_megahit	malthx
lane121s003986_megahit	malttr
lane121s003986_megahit	manttr
lane121s003986_megahit	melib
lane121s003986_megahit	mg2
lane121s003986_megahit	mn2
lane121s003986_megahit	raffin
lane121s003986_megahit	ribflv
lane121s003986_megahit	sucr
lane121s003986_megahit	tre
lane121s003986_megahit	xyl3
lane121s003986_megahit	zn2
lane121s003995_shovill	25dkglcn
lane121s003995_shovill	3amp
lane121s003995_shovill	ca2
lane121s003995_shovill	cl
lane121s003995_shovill	cobalt2
lane121s003995_shovill	dha
lane121s003995_shovill	diact
lane121s003995_shovill	fru
lane121s003995_shovill	galctn__D
lane121s003995_shovill	galctn__L
lane121s003995_shovill	glc__D
lane121s003995_shovill	glcur
lane121s003995_shovill	glyc
lane121s003995_shovill	h
lane121s003995_shovill	k
lane121s003995_shovill	mg2
lane121s003995_shovill	mn2
lane121s003995_shovill	no3
lane121s003995_shovill	o2
lane121s003995_shovill	raffin
lane121s003995_shovill	thm
lane121s003995_shovill	thr__L
lane121s003995_shovill	zn2
lane121s003996_shovill	Larab
lane121s003996_shovill	arbt
lane121s003996_shovill	ca2
lane121s003996_shovill	cell6
lane121s003996_shovill	cellb
lane121s003996_shovill	cl
lane121s003996_shovill	cobalt2
lane121s003996_shovill	fru
lane121s003996_shovill	gam
lane121s003996_shovill	glc__D
lane121s003996_shovill	k
lane121s003996_shovill	madg
lane121s003996_shovill	malt
lane121s003996_shovill	man
lane121s003996_shovill	mbdg
lane121s003996_shovill	mg2
lane121s003996_shovill	mn2
lane121s003996_shovill	mnl
lane121s003996_shovill	o2
lane121s003996_shovill	raffin
lane121s003996_shovill	salcn
lane121s003996_shovill	sucr
lane121s003996_shovill	tgt
lane121s003996_shovill	tre
lane121s003996_shovill	zn2
lane122s000515_shovill	arbt
lane122s000515_shovill	ca2
lane122s000515_shovill	cell6
lane122s000515_shovill	cellb
lane122s000515_shovill	cl
lane122s000515_shovill	cobalt2
lane122s000515_shovill	fe2
lane122s000515_shovill	fru
lane122s000515_shovill	gam
lane122s000515_shovill	glc__D
lane122s000515_shovill	k
lane122s000515_shovill	lcts
lane122s000515_shovill	malt
lane122s000515_shovill	man
lane122s000515_shovill	mg2
lane122s000515_shovill	mn2
lane122s000515_shovill	mnl
lane122s000515_shovill	o2
lane122s000515_shovill	raffin
lane122s000515_shovill	salcn
lane122s000515_shovill	sucr
lane122s000515_shovill	tre
lane122s000515_shovill	udcpp
lane122s000515_shovill	zn2
lane122s000516_shovill	23cgmp
lane122s000516_shovill	ca2
lane122s000516_shovill	cl
lane122s000516_shovill	cobalt2
lane122s000516_shovill	fe2
lane122s000516_shovill	fru
lane122s000516_shovill	gam
lane122s000516_shovill	h
lane122s000516_shovill	k
lane122s000516_shovill	mg2
lane122s000516_shovill	mn2
