model	metabolite
lane122s000521_bin.1.s	zn2
lane122s000521_bin.2.p	ca2
lane122s000521_bin.2.p	cl
lane122s000521_bin.2.p	cobalt2
lane122s000521_bin.2.p	k
lane122s000521_bin.2.p	lys__L
lane122s000521_bin.2.p	mg2
lane122s000521_bin.2.p	mn2
lane122s000521_bin.2.p	o2
lane122s000521_bin.2.p	thm
lane122s000521_bin.2.p	zn2
lane122s000522_shovill	ca2
lane122s000522_shovill	cl
lane122s000522_shovill	cobalt2
lane122s000522_shovill	fe2
lane122s000522_shovill	k
lane122s000522_shovill	mg2
lane122s000522_shovill	mn2
lane122s000522_shovill	zn2
lane122s000523_bin.1.p	ca2
lane122s000523_bin.1.p	cl
lane122s000523_bin.1.p	cobalt2
lane122s000523_bin.1.p	k
lane122s000523_bin.1.p	mg2
lane122s000523_bin.1.p	mn2
lane122s000523_bin.1.p	zn2
lane122s000524_shovill	ca2
lane122s000524_shovill	cl
lane122s000524_shovill	cobalt2
lane122s000524_shovill	k
lane122s000524_shovill	mg2
lane122s000524_shovill	mn2
lane122s000524_shovill	o2
lane122s000524_shovill	zn2
lane122s000525_bin.1.p	asn__L
lane122s000525_bin.1.p	ca2
lane122s000525_bin.1.p	cl
lane122s000525_bin.1.p	cobalt2
lane122s000525_bin.1.p	gln__L
lane122s000525_bin.1.p	ile__L
lane122s000525_bin.1.p	k
lane122s000525_bin.1.p	mg2
lane122s000525_bin.1.p	mn2
lane122s000525_bin.1.p	phe__L
lane122s000525_bin.1.p	ribflv
lane122s000525_bin.1.p	so4
lane122s000525_bin.1.p	thm
lane122s000525_bin.1.p	zn2
lane122s000527_megahit	ca2
lane122s000527_megahit	cl
lane122s000527_megahit	cobalt2
lane122s000527_megahit	k
lane122s000527_megahit	mg2
lane122s000527_megahit	mn2
lane122s000527_megahit	ribflv
lane122s000527_megahit	zn2
lane122s000528_shovill	ca2
lane122s000528_shovill	cl
lane122s000528_shovill	cobalt2
lane122s000528_shovill	k
lane122s000528_shovill	mg2
lane122s000528_shovill	mn2
lane122s000528_shovill	o2
lane122s000528_shovill	zn2
lane122s000529_megahit	ca2
